0.31475,0.05253,0.0013266,0.00078289,0.014957,0.0019409,0.61369,2.7184e-005
0.29746,0.044233,0.0011985,0.00079196,0.01822,0.0021594,0.63593,1.0559e-005
0.28608,0.036948,0.0006631,0.00040847,0.011798,0.0017347,0.66235,1.061e-005
0.28986,0.038077,0.00081495,0.00057904,0.013645,0.0028041,0.6542,1.6084e-005
0.28306,0.04878,0.0020615,0.0011231,0.011815,0.0090481,0.64406,5.3481e-005
0.24202,0.057221,0.0055049,0.0032595,0.017213,0.015234,0.65951,4.5156e-005
0.24124,0.054073,0.0038509,0.0022251,0.012935,0.012424,0.6732,5.5927e-005
0.30153,0.028483,0.0024527,0.0013114,0.011726,0.0093496,0.64509,6.2659e-005
0.28044,0.0563,0.0026805,0.0014592,0.014359,0.0081742,0.63653,6.404e-005
0.31106,0.045103,0.00149,0.0010125,0.013036,0.0028189,0.62546,1.1506e-005
0.28044,0.0563,0.0026805,0.0014592,0.014359,0.0081742,0.63653,6.404e-005
0.31106,0.045103,0.00149,0.0010125,0.013036,0.0028189,0.62546,1.1506e-005
